KEGG	Name	Equation	MetaNetX	Rhea	ModelSEED	BiGG	MetaCyc	SABIO-RK
R00149	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)	2 ATP + Ammonia + CO2 + H2O <=> 2 ADP + Orthophosphate + Carbamoyl phosphate	MNXR96884	10624;10625;10626;10627	rxn00113;rxn19010;rxn30592;rxn31319;rxn35314;rxn38000	CPS;CPS_m		715
R00150	ATP:carbamate phosphotransferase	ATP + Ammonia + HCO3- <=> ADP + Carbamoyl phosphate + H2O	MNXR153144	10152;10153;10154;10155	rxn44644		CARBAMATE-KINASE-RXN	
R00152	hydrogen cyanide aminohydrolase	Hydrogen cyanide + 2 H2O <=> Ammonia + Formate	MNXR106411		rxn39260			
R00153	Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)	Hydrazine + 2 e- + 2 H+ <=> 2 Ammonia	MNXR106412		rxn11949			
R00155	UDP phosphohydrolase	UDP + H2O <=> UMP + Orthophosphate	MNXR188497	64876;64877;64878;64879	rxn00116	NDP7;NDP7er;NDP7ex;NDP7g	RXN-12197	444
R00156	ATP:UDP phosphotransferase	ATP + UDP <=> ADP + UTP	MNXR188501	25098;25099;25100;25101	rxn00117;rxn20461;rxn28042;rxn28044;rxn33550	NDPK2;NDPK2m;NDPK2n	UDPKIN-RXN	199
R00157	Uridine triphosphate:AMP phosphotransferase	UTP + AMP <=> UDP + ADP	MNXR106413		rxn00118			
R00158	ATP:UMP phosphotransferase	ATP + UMP <=> ADP + UDP	MNXR188974	24400;24401;24402;24403	rxn00119;rxn30446;rxn32095	UMPK;UMPKm;UMPKn	RXN-12002	201
R00159	UTP phosphohydrolase	UTP + H2O <=> UDP + Orthophosphate	MNXR188499	64900;64901;64902;64903	rxn00120;rxn38190;rxn38198;rxn38206;rxn38214;rxn38222;rxn38231;rxn38241	NDP8ex;NTP7	RXN-12196	200
R00160	FAD nucleotidohydrolase	FAD + H2O <=> AMP + FMN	MNXR192648			FADDP;FADDP_h;FADDPle		718
R00161	ATP:FMN adenylyltransferase	ATP + FMN <=> Diphosphate + FAD	MNXR192638			AFAT;FMNAT;FMNAT_1;FMNAT_h;FMNATm		390
R00162	ATP:protein phosphotransferase	ATP + Protein <=> ADP + Phosphoprotein	MNXR146864					
R00164	Phosphoprotein phosphohydrolase	Phosphoprotein + H2O <=> Protein + Orthophosphate	MNXR146867					
R00165		Protein <=> L-Alanyl-tRNA	MNXR146870					
R00166		Protein <=> L-Leucyl-tRNA	MNXR146872					
R00167		L-Arginyl-tRNA(Arg) <=> Protein-L-arginine	MNXR106418					
R00168		Protein <=> L-Valyl-tRNA(Val)	MNXR146874					
R00169		Protein <=> L-Glutamyl-tRNA(Glu)	MNXR146876					
R00170		Protein <=> L-Isoleucyl-tRNA(Ile)	MNXR146878					
R00172		Protein <=> Selenomethionyl-tRNA(Met)	MNXR146880					
R00173	pyridoxal-5'-phosphate phosphohydrolase	Pyridoxal phosphate + H2O <=> Pyridoxal + Orthophosphate	MNXR103368	20533;20534;20535;20536	rxn00123	PYDXPP	3.1.3.74-RXN	728
R00174	ATP:pyridoxal 5'-phosphotransferase	ATP + Pyridoxal <=> ADP + Pyridoxal phosphate	MNXR103361	10224;10225;10226;10227	rxn00124;rxn38691	PYDXK;PYDXK_1	PYRIDOXKIN-RXN	729
R00175	S-Adenosyl-L-methionine hydrolase	S-Adenosyl-L-methionine + H2O <=> 5'-Methylthioadenosine + L-Homoserine	MNXR106423	14645;14646;14647;14648	rxn00125		ADENOSYLMETHIONINE-HYDROLASE-RXN	
R00177	ATP:L-methionine S-adenosyltransferase	Orthophosphate + Diphosphate + S-Adenosyl-L-methionine <=> ATP + L-Methionine + H2O	MNXR188373	21080;21081;21082;21083	rxn00126;rxn28979	MATm;METAT	S-ADENMETSYN-RXN	96
R00178	S-adenosyl-L-methionine carboxy-lyase [S-adenosyl 3-(methylsulfanyl)propylamine-forming]	S-Adenosyl-L-methionine + H+ <=> S-Adenosylmethioninamine + CO2	MNXR190583	15981;15982;15983;15984	rxn00127;rxn32132	ADMDC	SAMDECARB-RXN	731
R00179	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	S-Adenosyl-L-methionine <=> 1-Aminocyclopropane-1-carboxylate + 5'-Methylthioadenosine	MNXR190555	21744;21745;21746;21747	rxn00128;rxn27619;rxn33519;rxn37998;rxn37999	ACCS_h;ACPCS	4.4.1.14-RXN	732
R00180	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	S-Adenosyl-L-methionine <=> 5'-Methylthioadenosine + Homoserine lactone	MNXR106424	21932;21933;21934;21935	rxn00129;rxn15017		ADENOSYLMETHIONINE-CYCLOTRANSFERASE-RXN	
R00181	AMP aminohydrolase	AMP + H2O <=> IMP + Ammonia	MNXR190279	14777;14778;14779;14780	rxn00130;rxn30350;rxn32247;rxn32251	AMPD2;AMPDA;AMPDg	AMP-DEAMINASE-RXN	135
R00182	AMP phosphoribohydrolase	AMP + H2O <=> Adenine + D-Ribose 5-phosphate	MNXR190676	20129;20130;20131;20132	rxn00131;rxn15018	AMPN	AMP-NUCLEOSID-RXN	
R00183	adenosine 5'-monophosphate phosphohydrolase	AMP + H2O <=> Adenosine + Orthophosphate	MNXR188533	29375;29376;29377;29378	rxn00132;rxn18970;rxn30611;rxn31965;rxn31971;rxn31973	NTD7;NTD7e;NTD7l;NTD7pp;r0047	AMP-DEPHOSPHORYLATION-RXN	295
R00184	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	P1,P4-Bis(5'-adenosyl)tetraphosphate + H2O <=> ATP + AMP	MNXR190682	32039;32040;32041;32042	rxn00133	AP4AH1	RXN-12820	251
R00185	ATP:adenosine 5'-phosphotransferase	ATP + Adenosine <=> ADP + AMP	MNXR190585	20824;20825;20826;20827	rxn00134;rxn27678;rxn38020	ADNK1;ADNK1er;ADNK1g;ADNK1m;ADNK1n	ADENOSINE-KINASE-RXN	252
R00187	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	P1,P3-Bis(5'-adenosyl) triphosphate + H2O <=> ADP + AMP	MNXR96340	13893;13894;13895;13896	rxn00136;rxn35437	BTP;DNTP	BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	735
R00188	adenosine-3',5'-bisphosphate 3'-phosphohydrolase	Adenosine 3',5'-bisphosphate + H2O <=> AMP + Orthophosphate	MNXR190736	10040;10041;10042;10043	rxn00137;rxn11357;rxn32810	BPNT;BPNT_1;BPNT_h	325-BISPHOSPHATE-NUCLEOTIDASE-RXN	736
R00189	deamido-NAD+:ammonia ligase (AMP-forming)	ATP + Deamino-NAD+ + Ammonia <=> AMP + Diphosphate + NAD+	MNXR188487	21188;21189;21190;21191	rxn00138;rxn30039;rxn30193;rxn30412;rxn32216	NADS1;NADS1_1;NADS1m;NADS1n	NAD-SYNTH-NH3-RXN	13688
R00190	AMP:diphosphate phospho-D-ribosyltransferase	AMP + Diphosphate <=> Adenine + 5-Phospho-alpha-D-ribose 1-diphosphate	MNXR190607	16609;16610;16611;16612	rxn00139;rxn38024	ADPT;r0051	ADENPRIBOSYLTRAN-RXN	80
R00191	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	3',5'-Cyclic AMP + H2O <=> AMP	MNXR95886	25277;25278;25279;25280	rxn00140;rxn35432	APNn;PDE1;PDE1g	RXN0-5038	292
R00192	S-Adenosyl-L-homocysteine hydrolase	S-Adenosyl-L-homocysteine + H2O <=> Adenosine + L-Homocysteine	MNXR190611	21708;21709;21710;21711	rxn00141;rxn27683;rxn30600;rxn33400;rxn33978	ADSHm;AHCi	ADENOSYLHOMOCYSTEINASE-RXN	738;8119
R00193	S-Adenosyl-L-homocysteine aminohydrolase	S-Adenosyl-L-homocysteine + H2O <=> S-Inosyl-L-homocysteine + Ammonia	MNXR106426	20716;20717;20718;20719	rxn00142;rxn40909		S-ADENOSYLHOMOCYSTEINE-DEAMINASE-RXN	739
R00194	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	S-Adenosyl-L-homocysteine + H2O <=> S-Ribosyl-L-homocysteine + Adenine	MNXR152916	17805;17806;17807;17808	rxn00143		ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	740
R00195	2,3-diaminopropanoate ammonia-lyase (adding water pyruvate-forming)	2,3-Diaminopropanoate + H2O <=> Pyruvate + 2 Ammonia	MNXR153300		rxn00144;rxn18960;rxn30005;rxn42165	DAPAL	4.3.1.15-RXN	741
R00196	(S)-Lactate:ferricytochrome-c 2-oxidoreductase	(S)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+	MNXR151781					
R00197	(R)-Lactate:ferricytochrome-c 2-oxidoreductase	(R)-Lactate + 2 Ferricytochrome c <=> Pyruvate + 2 Ferrocytochrome c + 2 H+	MNXR151784					
R00198	(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase	(R)-Lactate + 2 Ferricytochrome c-553 <=> Pyruvate + 2 Ferrocytochrome c-553 + 2 H+	MNXR151785					
R00199	ATP:pyruvate,water phosphotransferase	ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate	MNXR103140	11364;11365;11366;11367	rxn00147;rxn33266	PPS	PEPSYNTH-RXN	148
R00200	ATP:pyruvate 2-O-phosphotransferase	ATP + Pyruvate <=> ADP + Phosphoenolpyruvate	MNXR103371	18157;18158;18159;18160	rxn00148;rxn20509;rxn35242	PYK;PYK_h;PYKf;PYKm	PEPDEPHOS-RXN	9
R00203	pyruvaldehyde:NAD+ oxidoreductase	Methylglyoxal + NAD+ + H2O <=> Pyruvate + NADH + H+	MNXR106430		rxn00149;rxn38862	PANO	METHYL-GLYOXAL-DEHYDROG-RXN	520
R00205	2-Oxopropanal:NADP+ oxidoreductase	Methylglyoxal + NADP+ + H2O <=> Pyruvate + NADPH + H+	MNXR95787		rxn00150	ALR	RXN-8639	521
R00206	ATP:pyruvate,phosphate phosphotransferase	ATP + Pyruvate + Orthophosphate <=> AMP + Phosphoenolpyruvate + Diphosphate	MNXR103107	10756;10757;10758;10759	rxn00151;rxn20655	PPDK;PPDK_h;PPDKgr;PPDKh	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN	147
R00207	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	Pyruvate + Orthophosphate + Oxygen <=> Acetyl phosphate + Hydrogen peroxide + CO2	MNXR146882	20848;20849;20850;20851	rxn00152	PYROX_1	1.2.3.3-RXN	167
R00208	Phosphoenolpyruvate phosphohydrolase	Phosphoenolpyruvate + H2O <=> Pyruvate + Orthophosphate	MNXR102525	19997;19998;19999;20000	rxn00153	PGAM1_PhosHydro	PHOSPHOENOLPYRUVATE-PHOSPHATASE-RXN	742
R00209	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+	MNXR188625	28042;28043;28044;28045	rxn00154;rxn20656;rxn30418	PDH;PDHapi;PDHm	PYRUVDEH-RXN	523
R00210	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)	Pyruvate + CoA + NADP+ <=> Acetyl-CoA + CO2 + NADPH + H+	MNXR106432	17425;17426;17427;17428	rxn00155;rxn33851;rxn33852		PYRUVATE-DEHYDROGENASE-NADP+-RXN	
R00211	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)	Pyruvate + CoA + Oxygen <=> Hydrogen peroxide + Acetyl-CoA + CO2	MNXR106433	21912;21913;21914;21915	rxn00156		PYRUVATE-OXIDASE-COA-ACETYLATING-RXN	
R00212	Acetyl-CoA:formate C-acetyltransferase	Acetyl-CoA + Formate <=> CoA + Pyruvate	MNXR188637	11844;11845;11846;11847	rxn00157;rxn28121;rxn34258	PFL;PFLACTm;PFLh	PYRUVFORMLY-RXN	146
R00213	O-carbamoyl-L-serine ammonia-lyase (decarboxylating pyruvate-forming)	O-Carbamoyl-L-serine + H2O <=> Pyruvate + 2 Ammonia + CO2	MNXR106434	15445;15446;15447;15448	rxn00158;rxn45632		CARBAMOYL-SERINE-AMMONIA-LYASE-RXN	
R00214	(S)-malate:NAD+ oxidoreductase (decarboxylating)	(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+	MNXR101446	12653;12654;12655;12656	rxn00159;rxn27459;rxn31389;rxn37872	ME1;ME1m	1.1.1.39-RXN;RXN-19748	141
R00215	(R)-Malate:NAD+ oxidoreductase (decarboxylating)	(R)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+	MNXR101339	18365;18366;18367;18368	rxn00160	MALDDH	1.1.1.83-RXN	744
R00216	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)	(S)-Malate + NADP+ <=> Pyruvate + CO2 + NADPH + H+	MNXR101443	18253;18254;18255;18256	rxn00161;rxn27982;rxn27983	MDHC_nadp_hr;ME2;ME2m;ME_x	MALIC-NADP-RXN	142
R00217	oxaloacetate carboxy-lyase (pyruvate-forming)	Oxaloacetate <=> Pyruvate + CO2	MNXR102097	15641;15642;15643;15644	rxn00162	OAADC;OAADCm	OXALODECARB-RXN	149
R00218	acetylenedicarboxylate carboxy-lyase (pyruvate-forming)	Acetylenedicarboxylate + H2O <=> Pyruvate + CO2	MNXR106435	17733;17734;17735;17736	rxn00163		4.1.1.78-RXN	
R00219	2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)	Pyruvate + CO2 <=> 2-Hydroxyethylenedicarboxylate	MNXR138961		rxn00164	L24DC	RXN-21383	
R00220	L-serine ammonia-lyase	L-Serine <=> Pyruvate + Ammonia	MNXR146410	19169;19170;19171;19172	rxn00165;rxn30061;rxn32961;rxn35215	SAL_m;SERD_L;SER_AL;THRAL	4.3.1.17-RXN	745
R00221	D-serine ammonia-lyase	D-Serine <=> Pyruvate + Ammonia	MNXR104338	13977;13978;13979;13980	rxn00166;rxn30060;rxn32727	SERD_D	DSERDEAM-RXN	746
R00223	serine ammonia-lyase (pyruvate-forming)	Serine <=> Pyruvate + Ammonia	MNXR146411		rxn35580			
R00224	pyruvate carboxy-lyase (acetaldehyde-forming)	Pyruvate <=> Acetaldehyde + CO2	MNXR103379	45484;45485;45486;45487	rxn00168;rxn24132;rxn28118	PYRDC;PYRDC_1	RXN-6161	596
R00226	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	(S)-2-Acetolactate + CO2 <=> 2 Pyruvate	MNXR146819	25249;25250;25251;25252	rxn00003;rxn15021;rxn27664;rxn30144;rxn30334;rxn33164	ACLS;ACLSm;PPATDh	ACETOLACTSYN-RXN	6473;749
R00227	Acetyl-CoA hydrolase	Acetyl-CoA + H2O <=> CoA + Acetate	MNXR190549	20289;20290;20291;20292	rxn00170;rxn30335	ACOAH;ACOAHim;HMR_3475	ACETYL-COA-HYDROLASE-RXN	171
R00228	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	Acetaldehyde + CoA + NAD+ <=> Acetyl-CoA + NADH + H+	MNXR190509	23288;23289;23290;23291	rxn00171;rxn27656;rxn32710;rxn32711	ACALD;ACALDh	ACETALD-DEHYDROG-RXN	163
R00229	acetate:CoA ligase (ADP-forming)	ATP + Acetate + CoA <=> ADP + Acetyl-CoA + Orthophosphate	MNXR106436	15081;15082;15083;15084	rxn00172;rxn27657;rxn27658;rxn31758		ACETATE--COA-LIGASE-ADP-FORMING-RXN	180
R00230	acetyl-CoA:phosphate acetyltransferase	Acetyl-CoA + Orthophosphate <=> CoA + Acetyl phosphate	MNXR188714	19521;19522;19523;19524	rxn00173;rxn20541;rxn28067;rxn28068;rxn34298	PTAr;PTArh;PTArm	PHOSACETYLTRANS-RXN	72
R00233	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)	Malonyl-CoA <=> Acetyl-CoA + CO2	MNXR188377	18781;18782;18783;18784	rxn00174;rxn27986;rxn32740	MCD;MCDC;MCDm;MCDp	MALONYL-COA-DECARBOXYLASE-RXN	750
R00235	Acetate:CoA ligase (AMP-forming)	ATP + Acetate + CoA <=> AMP + Diphosphate + Acetyl-CoA	MNXR190571	23176;23177;23178;23179	rxn00175;rxn27659;rxn27660;rxn30338	ACS;ACS_1;ACS_h;ACSm;ACSp	ACETATE--COA-LIGASE-RXN	179
R00236	acetyl adenylate:CoA acetyltransferase	Acetyl adenylate + CoA <=> AMP + Acetyl-CoA	MNXR189030		rxn00176;rxn31208;rxn33484	r0068		
R00237	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)	(3S)-Citramalyl-CoA <=> Acetyl-CoA + Pyruvate	MNXR106437	22612;22613;22614;22615	rxn00177	CITMCOALm	CITRAMALYL-COA-LYASE-RXN	530
R00238	Acetyl-CoA:acetyl-CoA C-acetyltransferase	2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA	MNXR190494	21036;21037;21038;21039	rxn00178;rxn19031;rxn31209;rxn31210	ACACT1m;ACACT1r;ACACT1x;KAT1	ACETYL-COA-ACETYLTRANSFER-RXN	531
R00239	ATP:L-glutamate 5-phosphotransferase	ATP + L-Glutamate <=> ADP + L-Glutamyl 5-phosphate	MNXR100277	14877;14878;14879;14880	rxn00179;rxn31391;rxn38122;rxn38123	GLU5K;GLU5Km	GLUTKIN-RXN	752
R00241	ATP:L-glutamate 1-phosphotransferase	ATP + L-Glutamate <=> ADP + L-Glutamyl 1-phosphate						
R00243	L-glutamate:NAD+ oxidoreductase (deaminating)	L-Glutamate + NAD+ + H2O <=> 2-Oxoglutarate + Ammonia + NADH + H+	MNXR144972	15133;15134;15135;15136	rxn00182;rxn19827;rxn30075;rxn34790;rxn34793	GDH;GDH1;GDHm;GLUDxi	GLUTAMATE-DEHYDROGENASE-RXN	755
R00245	L-glutamate gamma-semialdehyde:NAD+ oxidoreductase	L-Glutamate 5-semialdehyde + NAD+ + H2O <=> L-Glutamate + NADH + H+	MNXR103352	30235;30236;30237;30238	rxn00183;rxn33819;rxn33820	PUTA3;r0074	RXN-14116	756
R00248	L-glutamate:NADP+ oxidoreductase (deaminating)	L-Glutamate + NADP+ + H2O <=> 2-Oxoglutarate + Ammonia + NADPH + H+	MNXR100086	11612;11613;11614;11615	rxn00184;rxn27887;rxn30023;rxn33943;rxn34794	GDH_nadp;GLUDy;GLUDy_1;GLUDym	GLUTDEHYD-RXN;RXN-20084	757
R00250	L-Glutamate:oxygen oxidoreductase (deaminating)	L-Glutamate + Oxygen + H2O <=> 2-Oxoglutarate + Ammonia + Hydrogen peroxide	MNXR106439	20728;20729;20730;20731	rxn00185;rxn42741		L-GLUTAMATE-OXIDASE-RXN	758
R00251	5-oxo-L-proline amidohydrolase (ATP-hydrolysing)	ATP + 5-Oxoproline + 2 H2O <=> ADP + Orthophosphate + L-Glutamate	MNXR138674	10348;10349;10350;10351	rxn00186;rxn30590	OPAH	5-OXOPROLINASE-ATP-HYDROLYSING-RXN	759;8623
R00253	L-Glutamate:ammonia ligase (ADP-forming)	ATP + L-Glutamate + Ammonia <=> ADP + Orthophosphate + L-Glutamine	MNXR100024	16169;16170;16171;16172	rxn00187;rxn19835;rxn19836;rxn30022;rxn33952;rxn33953;rxn34791;rxn34792	GALh;GALm;GLNS;GLNS_1	GLUTAMINESYN-RXN	760
R00254	N-carbamyl-L-glutamate amidohydrolase	L-Glutamate + Ammonia + CO2 <=> N-Carbamyl-L-glutamate + H2O	MNXR106440		rxn00188			
R00256	L-glutamine amidohydrolase	L-Glutamine + H2O <=> L-Glutamate + Ammonia	MNXR100030	15889;15890;15891;15892	rxn00189;rxn19831;rxn29962;rxn30024;rxn30680;rxn34787	GAM;GLUN;GLUN_1;GLUNm;GLUNpp	GLUTAMIN-RXN	762
R00257	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)	ATP + Deamino-NAD+ + L-Glutamine + H2O <=> AMP + Diphosphate + NAD+ + L-Glutamate	MNXR190938	24384;24385;24386;24387	rxn00190;rxn33083	DNGALh;NADS2	NAD-SYNTH-GLN-RXN	
R00258	L-Alanine:2-oxoglutarate aminotransferase	L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate	MNXR95698	19453;19454;19455;19456	rxn00191;rxn27697;rxn27698;rxn31211;rxn38028;rxn38029	ALATA_L;ALATA_Lm	ALANINE-AMINOTRANSFERASE-RXN;RXN-13698	763
R00259	acetyl-CoA:L-glutamate N-acetyltransferase	Acetyl-CoA + L-Glutamate <=> CoA + N-Acetyl-L-glutamate	MNXR190531	24292;24293;24294;24295	rxn00192;rxn30107;rxn33610	ACGS;ACGSm;AGAS_h	N-ACETYLTRANSFER-RXN	764
R00260	glutamate racemase	L-Glutamate <=> D-Glutamate	MNXR100288	12813;12814;12815;12816	rxn00193	GLUR	GLUTRACE-RXN	765
R00261	L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming)	L-Glutamate <=> 4-Aminobutanoate + CO2	MNXR95942	17785;17786;17787;17788	rxn00194;rxn34786	ARGDh;GLUDC;GLUDC_m	GLUTDECARBOX-RXN	766
R00262	L-threo-3-methylaspartate carboxy-aminomethylmutase	L-threo-3-Methylaspartate <=> L-Glutamate	MNXR106441	12857;12858;12859;12860	rxn00195		METHYLASPARTATE-MUTASE-RXN	767
R00263		L-Glutamate <=> Poly-gamma-D-glutamate	MNXR106442					
R00264	2,5-dioxopentanoate:NADP+ 5-oxidoreductase	2,5-Dioxopentanoate + NADP+ + H2O <=> 2-Oxoglutarate + NADPH + H+	MNXR106443	11296;11297;11298;11299	rxn00196	DOPDH	25-DIOXOVALERATE-DEHYDROGENASE-RXN	769
R00265	2-oxoglutarate:NADP+ 2-oxidoreductase (CoA-succinylating)	2-Oxoglutarate + CoA + NADP+ <=> Succinyl-CoA + CO2 + NADPH + H+	MNXR106444	21400;21401;21402;21403	rxn00197		OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	770
R00267	Isocitrate:NADP+ oxidoreductase (decarboxylating)	Isocitrate + NADP+ <=> 2-Oxoglutarate + CO2 + NADPH + H+	MNXR191121		rxn00198;rxn30399;rxn30400;rxn33806	ICDHhr;ICDHym;ICDHyp;ICDHyr		269
R00268	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)	Oxalosuccinate <=> 2-Oxoglutarate + CO2	MNXR105305	19381;19382;19383;19384	rxn00199;rxn25050;rxn25051	OSUCCL;r0082;r0083;r0084	RXN-8642	241
R00269	2-oxoglutaramate amidohydrolase	2-Oxoglutaramate + H2O <=> 2-Oxoglutarate + Ammonia	MNXR105306	32963;32964;32965;32966	rxn00200;rxn23361;rxn31885	OXOGAH_h;OXOGAH_m;r0085;r0086	RXN-13072	771
R00270		2-Oxoglutarate + Ammonia <=> 4-Oxoglutaramate + H2O	MNXR100762		rxn00201;rxn35319	HYNE	RXN-7594	
R00271	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	Acetyl-CoA + H2O + 2-Oxoglutarate <=> (R)-2-Hydroxybutane-1,2,4-tricarboxylate + CoA	MNXR188216	12929;12930;12931;12932	rxn00202;rxn30154;rxn30391	AACT;HCITS;HCITSm;HCITSn	HOMOCITRATE-SYNTHASE-RXN	532
R00272	2-Oxoglutarate carboxy-lyase	2-Oxoglutarate <=> Succinate semialdehyde + CO2	MNXR102243	10524;10525;10526;10527	rxn00203;rxn24434	OXGDC	RXN-7774	773
R00273	oxalate:oxygen oxidoreductase	Oxalate + Oxygen <=> Hydrogen peroxide + 2 CO2	MNXR106446	21880;21881;21882;21883	rxn00204		OXALATE-OXIDASE-RXN	774
R00274	glutathione:hydrogen-peroxide oxidoreductase	Hydrogen peroxide + 2 Glutathione <=> Glutathione disulfide + 2 H2O	MNXR100446	16833;16834;16835;16836	rxn00205;rxn27891;rxn33345;rxn33349	GTHP_api;GTHPe;GTHPi;GTHPm;GTHPx	GLUTATHIONE-PEROXIDASE-RXN	376
R00275	superoxide:superoxide oxidoreductase	2 O2.- + 2 H+ <=> Hydrogen peroxide + Oxygen	MNXR191196	20696;20697;20698;20699		SPODM;SPODM_1;SPODMe;SPODMl;SPODMm;SPODMn;SPODMpp;SPODMx	SUPEROX-DISMUT-RXN	
R00276	Carbon-monoxide:oxygen oxidoreductase	CO2 + Hydrogen peroxide <=> CO + H2O + Oxygen						
R00277	Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)	Pyridoxamine phosphate + H2O + Oxygen <=> Pyridoxal phosphate + Ammonia + Hydrogen peroxide	MNXR103355	15817;15818;15819;15820	rxn00208;rxn30055;rxn30747;rxn31960	PYAM5PO	PMPOXI-RXN	777
R00278	Pyridoxine 5-phosphate:oxygen oxidoreductase	Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate	MNXR102438	15149;15150;15151;15152	rxn00209;rxn38693	PDX5POi	PNPOXI-RXN	778
R00279	D-Glutamate:oxygen oxidoreductase (deaminating)	D-Glutamate + H2O + Oxygen <=> 2-Oxoglutarate + Ammonia + Hydrogen peroxide	MNXR106448	10028;10029;10030;10031	rxn00210;rxn44093		D-GLUTAMATE-OXIDASE-RXN	779
R00280	Nitric-oxide:acceptor oxidoreductase	Acceptor + 2 Nitric oxide + 2 H2O <=> Reduced acceptor + 2 Nitrite	MNXR106449					
R00281	NADH:acceptor oxidoreductase	Acceptor + NADH + H+ <=> Reduced acceptor + NAD+						
R00282	NADPH:acceptor oxidoreductase	Acceptor + NADPH + H+ <=> Reduced acceptor + NADP+	MNXR106451					
R00283	ammonium:acceptor oxidoreductase (ATP-forming)	Acceptor + Ammonia + H2O + 2 Orthophosphate + 2 ADP <=> Hydroxylamine + Reduced acceptor + 2 ATP + 2 H2O						
R00284	ammonia:acceptor oxidoreductase	Acceptor + Ammonia + H2O <=> Hydroxylamine + Reduced acceptor	MNXR106453					
R00286	UDP-glucose:NAD+ 6-oxidoreductase	UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+	MNXR152122	23596;23597;23598;23599	rxn00211;rxn27418	UDPGD	UGD-RXN	784;8582
R00287	UDP-glucose glucophosphohydrolase	UDP-glucose + H2O <=> UMP + D-Glucose 1-phosphate	MNXR152257	29555;29556;29557;29558	rxn00212;rxn29978;rxn38997			
R00289	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose	MNXR152166	19889;19890;19891;19892	rxn00213;rxn19777;rxn27878;rxn38116;rxn38117		GLUC1PURIDYLTRANS-RXN	8973
R00291	UDP-glucose 4-epimerase	UDP-glucose <=> UDP-alpha-D-galactose	MNXR152254	22168;22169;22170;22171	rxn00214;rxn27412;rxn33514;rxn33931;rxn37863;rxn38825;rxn38826;rxn38827;rxn38828;rxn38829;rxn45945	GALE_h;UDPG4E;UDPG4Ex	UDPGLUCEPIM-RXN	70;8974
R00292	UDP-glucose:glycogen 4-alpha-D-glucosyltransferase	UDP-glucose + Amylose <=> UDP + Amylose						
R00293	UDP-glucose 4,6-hydro-lyase (UDP-4-dehydro-6-deoxy-D-glucose-forming)	UDP-glucose <=> UDP-4-dehydro-6-deoxy-D-glucose + H2O	MNXR152275	21500;21501;21502;21503	rxn00215;rxn27408;rxn31097		UDP-GLUCOSE-46-DEHYDRATASE-RXN;UDP-GLUCOSE__45.45__DEHYDRATASE-RXN	
R00294	nitrous-oxide:ferricytochrome-c oxidoreductase	2 Nitric oxide + 2 Ferrocytochrome c + 2 H+ <=> Nitrous oxide + 2 Ferricytochrome c + H2O	MNXR138964					
R00295	trithionate: (acceptor) oxidoreductase	Trithionate + HO- + Acceptor + 2 H2O <=> Reduced acceptor + 3 HSO3-	MNXR106457					
